Tienda;diadeSemana;fecha;ventas;Clientes;Open;Promo;StateHoliday;SchoolHoliday
46;5;31/07/2015;7628;775;1;1;0;0
47;5;31/07/2015;9379;1021;1;1;0;1
48;5;31/07/2015;3874;390;1;1;0;1
49;5;31/07/2015;10310;666;1;1;0;1
50;5;31/07/2015;5729;441;1;1;0;1
51;5;31/07/2015;9198;610;1;1;0;0
52;5;31/07/2015;8031;527;1;1;0;0
53;5;31/07/2015;7540;690;1;1;0;1
54;5;31/07/2015;10732;889;1;1;0;1
55;5;31/07/2015;6096;673;1;1;0;1
56;5;31/07/2015;10022;619;1;1;0;1
57;5;31/07/2015;11594;1025;1;1;0;1
58;5;31/07/2015;8581;603;1;1;0;0
59;5;31/07/2015;7148;628;1;1;0;1
60;5;31/07/2015;9762;776;1;1;0;1
61;5;31/07/2015;5572;665;1;1;0;1
62;5;31/07/2015;7495;772;1;1;0;1
63;5;31/07/2015;11525;846;1;1;0;1
64;5;31/07/2015;13251;935;1;1;0;1
65;5;31/07/2015;7156;561;1;1;0;1
66;5;31/07/2015;8306;636;1;1;0;1
67;5;31/07/2015;11035;912;1;1;0;1
68;5;31/07/2015;11187;1341;1;1;0;1
69;5;31/07/2015;11204;1371;1;1;0;1
70;5;31/07/2015;8613;741;1;1;0;1
71;5;31/07/2015;11545;869;1;1;0;1
72;5;31/07/2015;5251;520;1;1;0;0
73;5;31/07/2015;6026;537;1;1;0;1
74;5;31/07/2015;7518;929;1;1;0;1
75;5;31/07/2015;7444;807;1;1;0;1
76;5;31/07/2015;12887;1228;1;1;0;0
77;5;31/07/2015;10335;780;1;1;0;1
78;5;31/07/2015;5712;610;1;1;0;1
79;5;31/07/2015;7150;643;1;1;0;1
80;5;31/07/2015;9810;675;1;1;0;1
81;5;31/07/2015;9279;640;1;1;0;0
82;5;31/07/2015;11492;1035;1;1;0;1
83;5;31/07/2015;3866;327;1;1;0;1
84;5;31/07/2015;14949;1439;1;1;0;1
85;5;31/07/2015;7791;971;1;1;0;1
86;5;31/07/2015;5572;678;1;1;0;1
87;5;31/07/2015;6379;715;1;1;0;1
88;5;31/07/2015;7863;776;1;1;0;1
89;5;31/07/2015;7295;716;1;1;0;0
90;5;31/07/2015;11495;1295;1;1;0;1
91;5;31/07/2015;6164;554;1;1;0;1
92;5;31/07/2015;8227;701;1;1;0;1
93;5;31/07/2015;6548;715;1;1;0;1
94;5;31/07/2015;8372;694;1;1;0;1
95;5;31/07/2015;8445;920;1;1;0;1
96;5;31/07/2015;6370;612;1;1;0;1
97;5;31/07/2015;8380;802;1;1;0;1
98;5;31/07/2015;7012;512;1;1;0;1
99;5;31/07/2015;6571;507;1;1;0;0
100;5;31/07/2015;10280;764;1;1;0;0
101;5;31/07/2015;11075;915;1;1;0;1
102;5;31/07/2015;12602;1414;1;1;0;1
103;5;31/07/2015;5425;453;1;1;0;1
104;5;31/07/2015;10483;1223;1;1;0;1
105;5;31/07/2015;6456;595;1;1;0;1
106;5;31/07/2015;10845;958;1;1;0;1
107;5;31/07/2015;9194;1021;1;1;0;1
108;5;31/07/2015;14927;992;1;1;0;0
109;5;31/07/2015;9013;864;1;1;0;1
110;5;31/07/2015;6058;745;1;1;0;1
111;5;31/07/2015;8897;698;1;1;0;1
112;5;31/07/2015;7834;817;1;1;0;1
113;5;31/07/2015;8453;735;1;1;0;0
114;5;31/07/2015;5750;620;1;1;0;1
115;5;31/07/2015;9716;674;1;1;0;0
116;5;31/07/2015;8083;770;1;1;0;1
117;5;31/07/2015;4487;507;1;1;0;1
118;5;31/07/2015;10779;797;1;1;0;1
119;5;31/07/2015;7038;684;1;1;0;1
120;5;31/07/2015;10392;794;1;1;0;1
121;5;31/07/2015;4565;549;1;1;0;1
122;5;31/07/2015;12336;1327;1;1;0;1
123;5;31/07/2015;10750;1108;1;1;0;1
124;5;31/07/2015;7464;780;1;1;0;1
125;5;31/07/2015;18227;2041;1;1;0;1
126;5;31/07/2015;8742;734;1;1;0;1
127;5;31/07/2015;8560;848;1;1;0;0
128;5;31/07/2015;9581;694;1;1;0;1
129;5;31/07/2015;10241;1286;1;1;0;0
130;5;31/07/2015;5404;545;1;1;0;1
131;5;31/07/2015;5291;524;1;1;0;1
132;5;31/07/2015;10387;743;1;1;0;0
133;5;31/07/2015;8519;876;1;1;0;1
134;5;31/07/2015;4872;501;1;1;0;1
135;5;31/07/2015;7475;619;1;1;0;1
136;5;31/07/2015;9568;619;1;1;0;0
137;5;31/07/2015;9047;1121;1;1;0;0
138;5;31/07/2015;10130;866;1;1;0;1
139;5;31/07/2015;7972;564;1;1;0;0
140;5;31/07/2015;9828;1085;1;1;0;1
141;5;31/07/2015;8689;813;1;1;0;1
142;5;31/07/2015;5283;614;1;1;0;1
143;5;31/07/2015;8382;720;1;1;0;1
144;5;31/07/2015;8568;817;1;1;0;0
145;5;31/07/2015;10893;1343;1;1;0;0
146;5;31/07/2015;10130;784;1;1;0;1
147;5;31/07/2015;11338;1007;1;1;0;1
148;5;31/07/2015;9996;848;1;1;0;1
149;5;31/07/2015;7144;615;1;1;0;0
150;5;31/07/2015;10826;975;1;1;0;1
151;5;31/07/2015;10607;853;1;1;0;1
152;5;31/07/2015;6901;694;1;1;0;1
153;5;31/07/2015;8392;638;1;1;0;1
154;5;31/07/2015;10751;792;1;1;0;1
155;5;31/07/2015;8658;765;1;1;0;0
156;5;31/07/2015;8828;821;1;1;0;1
157;5;31/07/2015;10975;1060;1;1;0;1
158;5;31/07/2015;11335;636;1;1;0;1
159;5;31/07/2015;9758;812;1;1;0;0
160;5;31/07/2015;7839;670;1;1;0;1
161;5;31/07/2015;9373;924;1;1;0;1
162;5;31/07/2015;10735;658;1;1;0;1
163;5;31/07/2015;7118;823;1;1;0;1
164;5;31/07/2015;9240;792;1;1;0;0
165;5;31/07/2015;5009;501;1;1;0;0
166;5;31/07/2015;6588;898;1;1;0;1
167;5;31/07/2015;13355;1352;1;1;0;1
168;5;31/07/2015;11285;957;1;1;0;1
169;5;31/07/2015;7551;657;1;1;0;1
170;5;31/07/2015;5915;589;1;1;0;1
171;5;31/07/2015;8733;848;1;1;0;1
172;5;31/07/2015;7780;891;1;1;0;0
173;5;31/07/2015;11034;1145;1;1;0;1
174;5;31/07/2015;6546;544;1;1;0;0
175;5;31/07/2015;7893;754;1;1;0;1
176;5;31/07/2015;7157;734;1;1;0;1
177;5;31/07/2015;5012;525;1;1;0;1
178;5;31/07/2015;12816;1070;1;1;0;1
179;5;31/07/2015;10635;1183;1;1;0;1
180;5;31/07/2015;9708;910;1;1;0;1
181;5;31/07/2015;8398;801;1;1;0;0
182;5;31/07/2015;6755;491;1;1;0;1
183;5;31/07/2015;5588;714;1;1;0;0
184;5;31/07/2015;8190;652;1;1;0;1
185;5;31/07/2015;7958;602;1;1;0;1
186;5;31/07/2015;4957;447;1;1;0;0
187;5;31/07/2015;8074;907;1;1;0;1
188;5;31/07/2015;9660;746;1;1;0;1
189;5;31/07/2015;11094;940;1;1;0;1
190;5;31/07/2015;9772;821;1;1;0;0
191;5;31/07/2015;8592;801;1;1;0;0
192;5;31/07/2015;16191;1027;1;1;0;0
193;5;31/07/2015;5904;813;1;1;0;1
194;5;31/07/2015;6708;518;1;1;0;1
195;5;31/07/2015;13443;1403;1;1;0;1
196;5;31/07/2015;6784;780;1;1;0;1
197;5;31/07/2015;10136;1054;1;1;0;1
198;5;31/07/2015;3824;473;1;1;0;1
199;5;31/07/2015;10260;756;1;1;0;1
200;5;31/07/2015;11177;1122;1;1;0;1
201;5;31/07/2015;6625;544;1;1;0;1
202;5;31/07/2015;7940;627;1;1;0;1
203;5;31/07/2015;8132;960;1;1;0;1
204;5;31/07/2015;7189;655;1;1;0;0
205;5;31/07/2015;8665;969;1;1;0;1
206;5;31/07/2015;10354;1004;1;1;0;1
207;5;31/07/2015;13957;1436;1;1;0;1
208;5;31/07/2015;3994;508;1;1;0;1
209;5;31/07/2015;8912;830;1;1;0;1
210;5;31/07/2015;4275;409;1;1;0;1
211;5;31/07/2015;17286;1659;1;1;0;1
212;5;31/07/2015;6049;471;1;1;0;1
213;5;31/07/2015;10485;754;1;1;0;1
214;5;31/07/2015;11117;805;1;1;0;1
215;5;31/07/2015;9660;705;1;1;0;0
216;5;31/07/2015;10252;1077;1;1;0;1
217;5;31/07/2015;6940;759;1;1;0;1
218;5;31/07/2015;5685;768;1;1;0;0
219;5;31/07/2015;3511;433;1;1;0;1
220;5;31/07/2015;5324;687;1;1;0;1
221;5;31/07/2015;7750;651;1;1;0;1
222;5;31/07/2015;6468;627;1;1;0;1
223;5;31/07/2015;10141;898;1;1;0;1
224;5;31/07/2015;9423;594;1;1;0;1
225;5;31/07/2015;7849;682;1;1;0;1
226;5;31/07/2015;8052;730;1;1;0;1
227;5;31/07/2015;7186;595;1;1;0;1
228;5;31/07/2015;10369;689;1;1;0;1
229;5;31/07/2015;13016;937;1;1;0;1
230;5;31/07/2015;10988;1091;1;1;0;1
231;5;31/07/2015;8353;614;1;1;0;0
232;5;31/07/2015;5738;469;1;1;0;1
233;5;31/07/2015;12157;1148;1;1;0;1
234;5;31/07/2015;13943;1088;1;1;0;1
235;5;31/07/2015;6756;548;1;1;0;1
236;5;31/07/2015;10336;1086;1;1;0;1
237;5;31/07/2015;4879;564;1;1;0;1
238;5;31/07/2015;11530;1372;1;1;0;1
239;5;31/07/2015;6757;523;1;1;0;1
240;5;31/07/2015;5195;474;1;1;0;1
241;5;31/07/2015;8650;763;1;1;0;1
242;5;31/07/2015;5056;451;1;1;0;1
243;5;31/07/2015;11404;1249;1;1;0;0
244;5;31/07/2015;6461;635;1;1;0;1
245;5;31/07/2015;10778;1139;1;1;0;1
246;5;31/07/2015;10031;1131;1;1;0;1
247;5;31/07/2015;11660;839;1;1;0;1
248;5;31/07/2015;11444;1228;1;1;0;1
249;5;31/07/2015;7053;630;1;1;0;1
250;5;31/07/2015;13232;887;1;1;0;1
251;5;31/07/2015;22205;2508;1;1;0;1
252;5;31/07/2015;13647;954;1;1;0;1
253;5;31/07/2015;8801;906;1;1;0;1
254;5;31/07/2015;4239;315;1;1;0;1
255;5;31/07/2015;8711;739;1;1;0;1
256;5;31/07/2015;11536;1185;1;1;0;1
257;5;31/07/2015;6874;749;1;1;0;1
258;5;31/07/2015;6763;601;1;1;0;0
259;5;31/07/2015;14096;2628;1;1;0;1
260;5;31/07/2015;6849;835;1;1;0;1
261;5;31/07/2015;13470;989;1;1;0;1
262;5;31/07/2015;25774;3669;1;1;0;1
263;5;31/07/2015;5216;440;1;1;0;0
264;5;31/07/2015;8303;992;1;1;0;1
265;5;31/07/2015;7502;655;1;1;0;1
266;5;31/07/2015;4779;495;1;1;0;1
267;5;31/07/2015;11326;1217;1;1;0;1
268;5;31/07/2015;7492;740;1;1;0;1
269;5;31/07/2015;12197;1304;1;1;0;1
270;5;31/07/2015;11643;1338;1;1;0;1
271;5;31/07/2015;10104;934;1;1;0;1
272;5;31/07/2015;9109;774;1;1;0;1
273;5;31/07/2015;9189;792;1;1;0;1
274;5;31/07/2015;6975;1374;1;1;0;1
275;5;31/07/2015;8573;774;1;1;0;0
276;5;31/07/2015;5272;575;1;1;0;1
277;5;31/07/2015;9262;724;1;1;0;0
278;5;31/07/2015;9966;929;1;1;0;1
279;5;31/07/2015;12709;814;1;1;0;0
280;5;31/07/2015;8189;579;1;1;0;1
281;5;31/07/2015;8053;633;1;1;0;1
282;5;31/07/2015;4761;608;1;1;0;1
283;5;31/07/2015;9829;839;1;1;0;0
284;5;31/07/2015;6788;520;1;1;0;0
285;5;31/07/2015;7052;540;1;1;0;1
286;5;31/07/2015;5093;438;1;1;0;1
287;5;31/07/2015;9283;865;1;1;0;0
288;5;31/07/2015;6886;480;1;1;0;0
289;5;31/07/2015;7522;616;1;1;0;1
290;5;31/07/2015;8386;719;1;1;0;1
291;5;31/07/2015;10052;973;1;1;0;1
292;5;31/07/2015;0;0;0;1;0;1
293;5;31/07/2015;7494;878;1;1;0;1
294;5;31/07/2015;7628;889;1;1;0;1
295;5;31/07/2015;7687;834;1;1;0;1
296;5;31/07/2015;8579;801;1;1;0;1
297;5;31/07/2015;8481;802;1;1;0;1
298;5;31/07/2015;10344;803;1;1;0;0
299;5;31/07/2015;9839;1015;1;1;0;1
300;5;31/07/2015;10784;1082;1;1;0;1
301;5;31/07/2015;6665;629;1;1;0;1
302;5;31/07/2015;5356;393;1;1;0;1
303;5;31/07/2015;9026;849;1;1;0;1
304;5;31/07/2015;10539;1183;1;1;0;1
305;5;31/07/2015;7529;599;1;1;0;1
306;5;31/07/2015;6218;593;1;1;0;0
307;5;31/07/2015;3419;377;1;1;0;1
308;5;31/07/2015;11053;1026;1;1;0;1
309;5;31/07/2015;8688;707;1;1;0;1
310;5;31/07/2015;12219;926;1;1;0;1
311;5;31/07/2015;8602;826;1;1;0;1
312;5;31/07/2015;6678;651;1;1;0;1
313;5;31/07/2015;10432;926;1;1;0;1
314;5;31/07/2015;6661;700;1;1;0;1
315;5;31/07/2015;5959;553;1;1;0;1
316;5;31/07/2015;11678;927;1;1;0;1
317;5;31/07/2015;7374;683;1;1;0;0
318;5;31/07/2015;8026;746;1;1;0;1
319;5;31/07/2015;11280;1079;1;1;0;1
320;5;31/07/2015;19898;2316;1;1;0;1
321;5;31/07/2015;7520;688;1;1;0;1
322;5;31/07/2015;6826;621;1;1;0;1
323;5;31/07/2015;10371;716;1;1;0;1
324;5;31/07/2015;7753;855;1;1;0;1
325;5;31/07/2015;8509;742;1;1;0;1
326;5;31/07/2015;8094;544;1;1;0;1
327;5;31/07/2015;11035;1150;1;1;0;1
328;5;31/07/2015;5662;577;1;1;0;1
329;5;31/07/2015;9168;743;1;1;0;1
330;5;31/07/2015;5509;489;1;1;0;1
331;5;31/07/2015;7537;814;1;1;0;1
332;5;31/07/2015;4432;520;1;1;0;1
333;5;31/07/2015;13459;1399;1;1;0;1
334;5;31/07/2015;6583;599;1;1;0;1
335;5;31/07/2015;17867;2592;1;1;0;1
336;5;31/07/2015;16459;2049;1;1;0;1
337;5;31/07/2015;7345;493;1;1;0;1
338;5;31/07/2015;8566;657;1;1;0;1
339;5;31/07/2015;7080;840;1;1;0;1
340;5;31/07/2015;8192;802;1;1;0;1
341;5;31/07/2015;6994;851;1;1;0;1
342;5;31/07/2015;14485;987;1;1;0;0
343;5;31/07/2015;9742;802;1;1;0;1
344;5;31/07/2015;12767;1434;1;1;0;1
345;5;31/07/2015;4989;505;1;1;0;0
346;5;31/07/2015;8934;734;1;1;0;1
347;5;31/07/2015;7512;504;1;1;0;1
348;5;31/07/2015;10047;831;1;1;0;0
349;5;31/07/2015;9281;873;1;1;0;1
350;5;31/07/2015;8418;614;1;1;0;1
351;5;31/07/2015;8603;652;1;1;0;1
352;5;31/07/2015;8204;716;1;1;0;1
353;5;31/07/2015;7851;1851;1;1;0;1
354;5;31/07/2015;10053;791;1;1;0;1
355;5;31/07/2015;12766;1304;1;1;0;1
356;5;31/07/2015;9347;602;1;1;0;1
357;5;31/07/2015;10131;1218;1;1;0;1
358;5;31/07/2015;12667;1215;1;1;0;1
359;5;31/07/2015;8544;653;1;1;0;1
360;5;31/07/2015;9135;881;1;1;0;1
361;5;31/07/2015;9806;812;1;1;0;1
362;5;31/07/2015;11686;1257;1;1;0;1
363;5;31/07/2015;9564;1061;1;1;0;1
364;5;31/07/2015;7160;758;1;1;0;1
365;5;31/07/2015;8742;754;1;1;0;0
366;5;31/07/2015;9155;772;1;1;0;1
367;5;31/07/2015;7514;646;1;1;0;1
368;5;31/07/2015;16556;1025;1;1;0;1
369;5;31/07/2015;8495;646;1;1;0;1
370;5;31/07/2015;9747;714;1;1;0;1
371;5;31/07/2015;8360;592;1;1;0;1
372;5;31/07/2015;11470;874;1;1;0;1
373;5;31/07/2015;6621;405;1;1;0;1
374;5;31/07/2015;9062;938;1;1;0;1
375;5;31/07/2015;13241;1038;1;1;0;1
376;5;31/07/2015;11300;1083;1;1;0;1
377;5;31/07/2015;14940;1400;1;1;0;1
378;5;31/07/2015;8828;1267;1;1;0;1
379;5;31/07/2015;5550;574;1;1;0;1
380;5;31/07/2015;17133;1498;1;1;0;1
381;5;31/07/2015;10760;977;1;1;0;1
382;5;31/07/2015;10802;818;1;1;0;1
383;5;31/07/2015;22129;2297;1;1;0;1
384;5;31/07/2015;12065;1197;1;1;0;1
385;5;31/07/2015;8807;740;1;1;0;0
386;5;31/07/2015;10007;713;1;1;0;1
387;5;31/07/2015;14533;1402;1;1;0;1
388;5;31/07/2015;11506;1178;1;1;0;1
389;5;31/07/2015;13404;1383;1;1;0;1
390;5;31/07/2015;16172;1219;1;1;0;1
391;5;31/07/2015;8431;925;1;1;0;1
392;5;31/07/2015;7261;748;1;1;0;1
393;5;31/07/2015;8124;725;1;1;0;1
394;5;31/07/2015;10549;760;1;1;0;1
395;5;31/07/2015;4966;587;1;1;0;1
396;5;31/07/2015;13780;1227;1;1;0;1
397;5;31/07/2015;8130;955;1;1;0;1
398;5;31/07/2015;8246;787;1;1;0;1
399;5;31/07/2015;6917;668;1;1;0;0
400;5;31/07/2015;11084;1369;1;1;0;1
401;5;31/07/2015;8951;733;1;1;0;1
402;5;31/07/2015;6904;668;1;1;0;1
403;5;31/07/2015;8698;812;1;1;0;1
404;5;31/07/2015;6690;669;1;1;0;1
405;5;31/07/2015;5569;530;1;1;0;1
406;5;31/07/2015;10916;710;1;1;0;1
407;5;31/07/2015;6393;446;1;1;0;0
408;5;31/07/2015;7985;639;1;1;0;1
409;5;31/07/2015;7235;641;1;1;0;1
410;5;31/07/2015;7959;878;1;1;0;1
411;5;31/07/2015;12977;882;1;1;0;1
412;5;31/07/2015;12027;755;1;1;0;0
413;5;31/07/2015;10228;1110;1;1;0;0
414;5;31/07/2015;7805;547;1;1;0;1
415;5;31/07/2015;7713;583;1;1;0;1
416;5;31/07/2015;13376;1425;1;1;0;1
417;5;31/07/2015;9051;835;1;1;0;1
418;5;31/07/2015;8180;801;1;1;0;1
419;5;31/07/2015;8159;1030;1;1;0;1
420;5;31/07/2015;6377;516;1;1;0;0
421;5;31/07/2015;14471;1288;1;1;0;1
422;5;31/07/2015;5018;458;1;1;0;1
423;5;31/07/2015;13331;2213;1;1;0;1
424;5;31/07/2015;10141;930;1;1;0;1
425;5;31/07/2015;4744;560;1;1;0;1
426;5;31/07/2015;5535;667;1;1;0;1
427;5;31/07/2015;10228;880;1;1;0;0
428;5;31/07/2015;7940;635;1;1;0;0
429;5;31/07/2015;6999;523;1;1;0;0
430;5;31/07/2015;11246;868;1;1;0;0
431;5;31/07/2015;12369;1045;1;1;0;1
432;5;31/07/2015;13988;1795;1;1;0;1
433;5;31/07/2015;8970;904;1;1;0;1
434;5;31/07/2015;12333;767;1;1;0;0
435;5;31/07/2015;3142;388;1;1;0;1
436;5;31/07/2015;7465;731;1;1;0;1
437;5;31/07/2015;9287;847;1;1;0;1
438;5;31/07/2015;6736;614;1;1;0;1
439;5;31/07/2015;8562;930;1;1;0;1
440;5;31/07/2015;8230;839;1;1;0;1
441;5;31/07/2015;8718;847;1;1;0;1
442;5;31/07/2015;7478;637;1;1;0;1
443;5;31/07/2015;7056;566;1;1;0;1
444;5;31/07/2015;14441;1573;1;1;0;1
445;5;31/07/2015;11042;1627;1;1;0;1
446;5;31/07/2015;7952;816;1;1;0;1
447;5;31/07/2015;5700;614;1;1;0;1
448;5;31/07/2015;8924;786;1;1;0;1
449;5;31/07/2015;13829;1583;1;1;0;1
450;5;31/07/2015;10830;1096;1;1;0;1
451;5;31/07/2015;6628;514;1;1;0;1
452;5;31/07/2015;7541;642;1;1;0;1
453;5;31/07/2015;13328;1553;1;1;0;1
454;5;31/07/2015;8073;887;1;1;0;1
455;5;31/07/2015;9743;566;1;1;0;1
456;5;31/07/2015;7183;935;1;1;0;1
457;5;31/07/2015;7040;555;1;1;0;0
458;5;31/07/2015;9276;779;1;1;0;1
459;5;31/07/2015;13873;1450;1;1;0;1
460;5;31/07/2015;5538;541;1;1;0;1
461;5;31/07/2015;6252;567;1;1;0;1
462;5;31/07/2015;5518;637;1;1;0;1
463;5;31/07/2015;6403;880;1;1;0;1
464;5;31/07/2015;11967;1271;1;1;0;1
465;5;31/07/2015;10130;717;1;1;0;1
466;5;31/07/2015;9329;914;1;1;0;1
467;5;31/07/2015;17208;1761;1;1;0;1
468;5;31/07/2015;8281;804;1;1;0;1
469;5;31/07/2015;16964;1868;1;1;0;1
470;5;31/07/2015;15098;1835;1;1;0;1
471;5;31/07/2015;9116;703;1;1;0;0
472;5;31/07/2015;7981;783;1;1;0;1
473;5;31/07/2015;4267;511;1;1;0;1
474;5;31/07/2015;9034;825;1;1;0;1
475;5;31/07/2015;6834;1024;1;1;0;1
476;5;31/07/2015;7562;748;1;1;0;1
477;5;31/07/2015;7885;533;1;1;0;0
478;5;31/07/2015;10068;870;1;1;0;1
479;5;31/07/2015;16699;1687;1;1;0;1
480;5;31/07/2015;6233;720;1;1;0;1
481;5;31/07/2015;8419;651;1;1;0;1
482;5;31/07/2015;9814;974;1;1;0;1
483;5;31/07/2015;6200;712;1;1;0;1
484;5;31/07/2015;10638;878;1;1;0;1
485;5;31/07/2015;6914;554;1;1;0;0
486;5;31/07/2015;6225;661;1;1;0;1
487;5;31/07/2015;9624;828;1;1;0;1
488;5;31/07/2015;4184;401;1;1;0;1
489;5;31/07/2015;9010;748;1;1;0;1
490;5;31/07/2015;9184;1129;1;1;0;0
491;5;31/07/2015;9951;625;1;1;0;1
492;5;31/07/2015;10485;1341;1;1;0;0
493;5;31/07/2015;11090;933;1;1;0;1
494;5;31/07/2015;9970;1202;1;1;0;1
495;5;31/07/2015;6995;492;1;1;0;1
496;5;31/07/2015;10834;926;1;1;0;1
497;5;31/07/2015;11353;1248;1;1;0;1
498;5;31/07/2015;7685;903;1;1;0;0
499;5;31/07/2015;7716;922;1;1;0;1
500;5;31/07/2015;7364;505;1;1;0;0
501;5;31/07/2015;6626;684;1;1;0;0
502;5;31/07/2015;15473;1820;1;1;0;1
503;5;31/07/2015;9654;609;1;1;0;1
504;5;31/07/2015;10679;1117;1;1;0;1
505;5;31/07/2015;7087;734;1;1;0;1
506;5;31/07/2015;11162;1039;1;1;0;1
507;5;31/07/2015;10706;726;1;1;0;1
508;5;31/07/2015;11201;970;1;1;0;1
509;5;31/07/2015;8130;576;1;1;0;1
510;5;31/07/2015;11537;951;1;1;0;1
511;5;31/07/2015;7376;846;1;1;0;1
512;5;31/07/2015;8548;1812;1;1;0;0
513;5;31/07/2015;19959;2177;1;1;0;1
514;5;31/07/2015;7568;707;1;1;0;0
515;5;31/07/2015;12823;871;1;1;0;1
516;5;31/07/2015;7303;833;1;1;0;1
517;5;31/07/2015;7755;769;1;1;0;1
518;5;31/07/2015;8027;590;1;1;0;0
519;5;31/07/2015;8175;719;1;1;0;1
520;5;31/07/2015;5170;512;1;1;0;1
521;5;31/07/2015;8340;567;1;1;0;1
522;5;31/07/2015;11473;797;1;1;0;0
523;5;31/07/2015;15349;1625;1;1;0;1
524;5;31/07/2015;11966;1049;1;1;0;1
525;5;31/07/2015;10461;893;1;1;0;1
526;5;31/07/2015;11006;1434;1;1;0;1
527;5;31/07/2015;14510;1162;1;1;0;1
528;5;31/07/2015;14384;1166;1;1;0;1
529;5;31/07/2015;11283;913;1;1;0;1
530;5;31/07/2015;9561;1438;1;1;0;1
531;5;31/07/2015;5374;584;1;1;0;1
532;5;31/07/2015;10981;1236;1;1;0;1
533;5;31/07/2015;15364;1306;1;1;0;1
534;5;31/07/2015;10914;723;1;1;0;0
535;5;31/07/2015;8794;947;1;1;0;1
536;5;31/07/2015;13528;1209;1;1;0;1
537;5;31/07/2015;8220;743;1;1;0;1
538;5;31/07/2015;4509;567;1;1;0;1
539;5;31/07/2015;14009;1271;1;1;0;0
540;5;31/07/2015;8908;517;1;1;0;0
541;5;31/07/2015;9015;971;1;1;0;1
542;5;31/07/2015;6598;568;1;1;0;0
543;5;31/07/2015;3377;274;1;1;0;1
544;5;31/07/2015;17626;2050;1;1;0;1
545;5;31/07/2015;15112;1191;1;1;0;1
546;5;31/07/2015;14468;1617;1;1;0;1
547;5;31/07/2015;6818;510;1;1;0;0
548;5;31/07/2015;5101;381;1;1;0;1
549;5;31/07/2015;6023;650;1;1;0;1
550;5;31/07/2015;6482;491;1;1;0;1
551;5;31/07/2015;11632;1278;1;1;0;1
552;5;31/07/2015;8985;784;1;1;0;1
553;5;31/07/2015;9736;785;1;1;0;1
554;5;31/07/2015;5927;654;1;1;0;1
555;5;31/07/2015;5886;504;1;1;0;0
556;5;31/07/2015;9036;898;1;1;0;1
557;5;31/07/2015;5417;752;1;1;0;1
558;5;31/07/2015;4376;528;1;1;0;1
559;5;31/07/2015;9950;1053;1;1;0;1
560;5;31/07/2015;18197;1922;1;1;0;1
561;5;31/07/2015;9522;807;1;1;0;1
562;5;31/07/2015;20303;3255;1;1;0;1
563;5;31/07/2015;5754;672;1;1;0;1
564;5;31/07/2015;5924;540;1;1;0;1
565;5;31/07/2015;8283;906;1;1;0;1
566;5;31/07/2015;7202;690;1;1;0;1
567;5;31/07/2015;8601;854;1;1;0;1
568;5;31/07/2015;6660;472;1;1;0;1
569;5;31/07/2015;4680;620;1;1;0;1
570;5;31/07/2015;6102;804;1;1;0;1
571;5;31/07/2015;10677;677;1;1;0;0
572;5;31/07/2015;8531;657;1;1;0;1
573;5;31/07/2015;4806;391;1;1;0;0
